,Latitude,Longitude,id,City,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,18.83333,-98.0,3521082,Acuexcomac,MX,59,77,75,5.82
1,33.195869,-117.379478,5378771,Oceanside,US,82.4,69,1,8.05
2,19.060049,110.515373,1802634,Wanning,CN,86.01,88,36,8.41
3,41.099709,14.22013,3180601,Capua,IT,73.4,64,0,4.7
4,45.443581,-90.298203,5265566,Merrill,US,68,77,1,7.52
5,30.96174,112.184761,1811828,Yingzhong,CN,92.94,63,20,10.76
6,46.633331,27.033331,664677,Traian,RO,68,88,75,6.93
7,49.666672,7.81667,2937401,Bad Kreuznach,DE,66.2,59,0,1.12
8,39.333328,-0.83333,2509951,Bunol,ES,77,83,20,4.7
9,51.683331,13.96667,2803524,Senftenberg,DE,66.2,82,20,1.12
10,42.916672,-1.61667,3114823,Pamplona,ES,73.4,83,92,3.36
11,45.192081,11.2103,6540973,Cerea,IT,69.8,83,0,4.7
12,39.72871,-3.98381,6361662,Toledo,ES,57.84,68,0,3.6
13,47.200001,14.68333,2779450,Fohnsdorf,AT,62.6,82,20,3.36
14,52.883331,9.36667,2866737,Kirchlinteln,DE,71.6,73,0,3.36
15,48.610779,-1.44951,6435453,Beauchamps,FR,60.8,93,40,5.82
16,45.283329,-0.86667,6432399,Royan,FR,66.2,93,0,2.24
17,44.75071,-0.37203,2980024,Floirac,FR,66.2,93,0,2.24
18,40.65871,-73.641243,5134203,Oceanside,US,78.8,100,75,12.75
19,40.167061,-74.49987,5101760,Fort Dix,US,80.6,88,75,9.17
20,27.533331,89.883331,1252495,Wangdiphodrang,BT,62.79,67,20,1.36
21,39.046452,16.357531,2524863,Catanzaro,IT,68,88,75,1.12
22,33.808159,-84.170197,4224745,Tucker,US,77,88,75,2.82
23,48.127281,16.51144,7871953,Schwechat,AT,68,72,0,6.93
24,42.71011,-2.25458,6359687,Logrono,ES,68,93,75,1.12
25,39.39143,-87.693642,4243951,Terre Haute,US,78.8,88,1,4.83
26,52.62484,38.264881,551535,Kazaki,RU,62.25,99,92,11.65
27,56.36496,8.42665,2623240,Ulfborg,DK,62.6,88,8,2.24
